"Check","Status","RecordsAvailable","Detail"
"IDENTIFIERS_plans","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"IDENTIFIERS_problems","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"IDENTIFIERS_goals","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"IDENTIFIERS_objectives","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"IDENTIFIERS_interventions","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"IDENTIFIERS_activities","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"PROGRAM_SCREEN","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"MISSING_RANKED_DATES","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"ONE_PLAN_PER_CLIENT","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"BASE_LINK_problems","CHECKED","3","Completed on loaded records; findings are in findings.csv."
"BASE_LINK_goals","CHECKED","3","Completed on loaded records; findings are in findings.csv."
"BASE_LINK_objectives","CHECKED","3","Completed on loaded records; findings are in findings.csv."
"BASE_LINK_interventions","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"BASE_LINK_activities","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"PARENT_PATH_goals","CHECKED","4","Completed on loaded records; findings are in findings.csv."
"PARENT_PATH_objectives","CHECKED","4","Completed on loaded records; findings are in findings.csv."
"PARENT_PATH_interventions","CHECKED","3","Completed on loaded records; findings are in findings.csv."
"PARENT_PATH_activities","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"REPEATED_IDS_problems","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"REPEATED_IDS_goals","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"REPEATED_IDS_objectives","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"REPEATED_IDS_interventions","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"SHARED_GOAL_BRANCHES","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"LOCAL_DEMO_HEADERS_plans","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"LOCAL_DEMO_HEADERS_problems","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"LOCAL_DEMO_HEADERS_goals","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"LOCAL_DEMO_HEADERS_objectives","CHECKED","2","Completed on loaded records; findings are in findings.csv."
"LOCAL_DEMO_HEADERS_interventions","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"LOCAL_DEMO_HEADERS_activities","CHECKED","1","Completed on loaded records; findings are in findings.csv."
"SELECTED_ENROLLMENT","SOURCE_REQUIRED","0","Final exports do not retain the selected eligible enrollment/episode or tprog deletion state. Even an allowed program_id does not prove the correct enrollment was used."
"WINNING_PLAN","SOURCE_REQUIRED","0","The selected row cannot show discarded eligible plans or their dates. Program admission date cp.begin_date is also absent from the base output."
"PRODUCTION_MAPPING","SOURCE_REQUIRED","0","Production header/value mapping and actual ingestion behavior need the approved consumer contract and a separate import test."
"FINAL_HIERARCHY","SOURCE_REQUIRED","0","Raw relationship rows cannot prove whether the final Eleos document preserves the correct branches. Compare the combined output."
"SOURCE_CARDINALITY","SOURCE_REQUIRED","0","No source-table uniqueness, diagnosis code/name pairing, source deletion state or live query compilation check is possible from these files alone."
