"Level","Check","File","SourceRecord","ClientId","DocumentId","MasterId","EntityId","ProblemId","GoalId","ObjectiveId","Detail"
"REVIEW","PROGRAM_OUTSIDE_EXPECTED_SET","plans.csv","1","0001","D100","","D100","","","","Program is blank or outside the allowed set: 1003, 1008, 1016, 1017. Confirm eligibility context; this alone does not prove why it occurred."
"REVIEW","BLANK_RANKED_DATE","plans.csv","1","0001","D100","","D100","","","","txp_begin_date is blank. Compare the other eligible plans to determine whether the wrong plan was selected."
"REVIEW","REPEATED_ENTITY_ID","goals.csv","1","0001","D100","M1","G7","P1","G7","O11","Entity appears 2 times. Relationships/details can validly repeat it; the local demo combiner rejects repeated IDs. Do not delete rows on this flag alone."
"REVIEW","REPEATED_ENTITY_ID","goals.csv","2","0001","D100","M1","G7","P2","G7","O22","Entity appears 2 times. Relationships/details can validly repeat it; the local demo combiner rejects repeated IDs. Do not delete rows on this flag alone."
"REVIEW","SHARED_GOAL_BRANCH","goals.csv","1","0001","D100","M1","G7","P1","G7","O11","This goal is used under multiple problems in the same plan. Confirm each objective stays under its own problem/goal branch in the final integration."
"REVIEW","SHARED_GOAL_BRANCH","goals.csv","2","0001","D100","M1","G7","P2","G7","O22","This goal is used under multiple problems in the same plan. Confirm each objective stays under its own problem/goal branch in the final integration."
"INFO","LOCAL_DEMO_HEADER_DIFFERENCE","plans.csv","0","","","","","","","","Raw document_id/client_id headers differ from local demo Id/PatientId. Expected with raw exports. This check does not validate the entire production mapping."
"INFO","LOCAL_DEMO_HEADER_DIFFERENCE","problems.csv","0","","","","","","","","Raw document_id/client_id headers differ from local demo Id/PatientId. Expected with raw exports. This check does not validate the entire production mapping."
"INFO","LOCAL_DEMO_HEADER_DIFFERENCE","goals.csv","0","","","","","","","","Raw document_id/client_id headers differ from local demo Id/PatientId. Expected with raw exports. This check does not validate the entire production mapping."
"INFO","LOCAL_DEMO_HEADER_DIFFERENCE","objectives.csv","0","","","","","","","","Raw document_id/client_id headers differ from local demo Id/PatientId. Expected with raw exports. This check does not validate the entire production mapping."
"INFO","LOCAL_DEMO_HEADER_DIFFERENCE","interventions.csv","0","","","","","","","","Raw document_id/client_id headers differ from local demo Id/PatientId. Expected with raw exports. This check does not validate the entire production mapping."
"INFO","LOCAL_DEMO_HEADER_DIFFERENCE","activities.csv","0","","","","","","","","Raw document_id/client_id headers differ from local demo Id/PatientId. Expected with raw exports. This check does not validate the entire production mapping."
